Title,Rating,Price,Review,Functional URL
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,4.0 out of 5 stars,630,482,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-16
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,4.0 out of 5 stars,549,124,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-17
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),3.9 out of 5 stars,499,"1,023",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-18
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,3.7 out of 5 stars,224,"6,844",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-19
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",4.4 out of 5 stars,"1,599","2,177",https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-20
KILLER Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,4.4 out of 5 stars,"2,067","11,419",https://www.amazon.in/Killer-Backpack-Compartments-Polyester-Waterproof/dp/B07C9XHZT1/ref=sr_1_21_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
scarters | Ultimate Laptop Backpack for Business in Water Resistant Anti-Abrasive Nylon Fabric: Terminal,4.7 out of 5 stars,"12,399",169,https://www.amazon.in/Scarters-Ultimate-Backpack-Resistant-Anti-Abrasive/dp/B082PMDYR7/ref=sr_1_22_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274840&sprefix=ba%2Caps%2C283&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.0 out of 5 stars,679,"4,941",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_1_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.4 out of 5 stars,799,115,https://www.amazon.in/FUR-JADEN-Backpack-Compartment-Organizer/dp/B0BYSZ3TKW/ref=sr_1_2_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),4.0 out of 5 stars,"1,199","54,992",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-3
Skybags Brat Black 46 Cms Casual Backpack,4.1 out of 5 stars,669,"5,198",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-4
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),4.3 out of 5 stars,598,"11,860",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-5
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,849,"3,239",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-6
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9 out of 5 stars,649,"16,604",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-7
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,849,"3,239",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-8
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),4.4 out of 5 stars,987,"5,922",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-9
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",4.3 out of 5 stars,"1,299",572,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-10
EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,4.4 out of 5 stars,"2,499",7,https://www.amazon.in/EUME-Tourismo-Backpack-Resistance-15-6-inch/dp/B0B4JNV37M/ref=sr_1_11_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-11-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
BetterShine Floral Printed Waterproof Backpack For Girls&Boys 25 Litre With Laptop Compartment,,699,,https://www.amazon.in/BetterShine-Printed-Waterproof-Backpack-Compartment/dp/B0CC2PSGHK/ref=sr_1_12_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1&smid=A28K09EI2KGVEK
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),4.4 out of 5 stars,"1,125","5,922",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-13
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",3.8 out of 5 stars,689,"2,320",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-14
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,4.0 out of 5 stars,630,482,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-15
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,4.0 out of 5 stars,549,124,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-16
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),3.9 out of 5 stars,499,"1,023",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-17
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,3.7 out of 5 stars,224,"6,844",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-18
Nelle Harper Women's Handbag,3.7 out of 5 stars,809,"1,906",https://www.amazon.in/Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-19
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",4.4 out of 5 stars,"1,599","2,177",https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-20
Impulse Seacon Lite 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty(Grey),4.0 out of 5 stars,"1,439",1,https://www.amazon.in/Impulse-Seacon-Lite-Resistant-Grey/dp/B0C3MM9MPK/ref=sr_1_21_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
scarters | Ultimate Laptop Backpack for Business in Water Resistant Anti-Abrasive Nylon Fabric: Terminal,4.7 out of 5 stars,"12,399",169,https://www.amazon.in/Scarters-Ultimate-Backpack-Resistant-Anti-Abrasive/dp/B082PMDYR7/ref=sr_1_22_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274875&sprefix=ba%2Caps%2C283&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.0 out of 5 stars,679,"4,941",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_1_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",4.4 out of 5 stars,799,115,https://www.amazon.in/FUR-JADEN-Backpack-Compartment-Organizer/dp/B0BYSZ3TKW/ref=sr_1_2_sspa?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),4.0 out of 5 stars,"1,199","54,992",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-3
Skybags Brat Black 46 Cms Casual Backpack,4.1 out of 5 stars,669,"5,198",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-4
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),4.3 out of 5 stars,598,"11,860",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-5
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,849,"3,239",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-6
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",3.9 out of 5 stars,649,"16,604",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-7
Half Moon Large 37L Laptop Bag Backpack for menà¤‚ Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,3.9 out of 5 stars,849,"3,239",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690274906&sprefix=ba%2Caps%2C283&sr=8-8
